id,sus_id,name
2800308,28001,Aracaju
2800407,28002,Estância
2800506,28003,Itabaiana
2800605,28001,Aracaju
2800670,28002,Estância
2800704,28007,Propriá
2801009,28003,Itabaiana
2801108,28007,Propriá
2801207,28005,Nossa Senhora da Glória
2801306,28006,Nossa Senhora do Socorro
2801405,28003,Itabaiana
2801504,28006,Nossa Senhora do Socorro
2801603,28007,Propriá
2801702,28002,Estância
2801900,28006,Nossa Senhora do Socorro
2802007,28001,Aracaju
2802106,28002,Estância
2802205,28005,Nossa Senhora da Glória
2802304,28003,Itabaiana
2802403,28005,Nossa Senhora da Glória
2802502,28006,Nossa Senhora do Socorro
2802601,28005,Nossa Senhora da Glória
2802700,28007,Propriá
2802809,28002,Estância
2802908,28003,Itabaiana
2803005,28002,Estância
2803104,28005,Nossa Senhora da Glória
2803203,28001,Aracaju
2803302,28006,Nossa Senhora do Socorro
2803401,28007,Propriá
2803500,28004,Lagarto
2803609,28001,Aracaju
2803708,28003,Itabaiana
2803807,28007,Propriá
2803906,28003,Itabaiana
2804003,28006,Nossa Senhora do Socorro
2804102,28003,Itabaiana
2804201,28005,Nossa Senhora da Glória
2804300,28007,Propriá
2804409,28007,Propriá
2804458,28003,Itabaiana
2804508,28005,Nossa Senhora da Glória
2804607,28006,Nossa Senhora do Socorro
2804706,28007,Propriá
2804805,28006,Nossa Senhora do Socorro
2804904,28007,Propriá
2805000,28003,Itabaiana
2805109,28002,Estância
2805208,28003,Itabaiana
2805307,28006,Nossa Senhora do Socorro
2805406,28005,Nossa Senhora da Glória
2805505,28004,Lagarto
2805604,28005,Nossa Senhora da Glória
2805703,28007,Propriá
2805802,28004,Lagarto
2805901,28001,Aracaju
2806008,28003,Itabaiana
2806107,28006,Nossa Senhora do Socorro
2806206,28004,Lagarto
2806305,28002,Estância
2806404,28007,Propriá
2806503,28001,Aracaju
2806602,28006,Nossa Senhora do Socorro
2806701,28001,Aracaju
2806800,28003,Itabaiana
2806909,28007,Propriá
2807006,28003,Itabaiana
2807105,28004,Lagarto
